movie_id,title,release_date,popularity,vote_average,primary_genre
1208348,Rental Family,2025-11-20,4.7937,7.736,Comedy
1286491,Jimpa,2026-02-06,1.7279,8.125,Drama
1293167,Exit Protocol,2025-11-07,4.2309,7.1,Action
1419406,The Shadow's Edge,2025-08-16,79.5151,7.844,Action
1310677,Hana Korea,2026-07-08,4.1555,0.0,Drama
1327862,Regretting You,2025-10-22,11.7595,7.015,Romance
1177767,Mile End Kicks,2026-04-17,3.3415,5.6,Comedy
1686823,The Greek Aisle,2026-06-06,0.7618,9.5,Romance
1315303,Primate,2026-01-01,13.2441,6.53,Horror
1532395,All Greens,2026-01-16,1.312,7.2,Comedy
1437703,Flies,2026-07-01,4.796,0.0,Drama
1197137,Black Phone 2,2025-10-15,13.6842,6.69,Horror
1306368,The Rip,2026-01-13,21.3175,7.085,Action
1532395,All Greens,2026-01-16,1.312,7.2,Comedy
1437703,Flies,2026-07-01,4.796,0.0,Drama
1197137,Black Phone 2,2025-10-15,13.6842,6.69,Horror
1306368,The Rip,2026-01-13,21.3175,7.085,Action
1091862,Black Diamond,2025-01-10,2.0574,5.4,Thriller
1125257,Freakier Friday,2025-08-06,39.6022,6.8,Comedy
1316427,7 Dogs,2026-05-27,18.9842,5.857,Action
1305672,I Know Who You Are,2026-06-19,10.002,5.8,Drama
829280,Enola Holmes 2,2022-11-03,8.0555,7.401,Adventure
1280015,Sunny Dancer,2026-08-13,1.9158,0.0,Drama
1168719,Silent Friend,2026-01-15,4.8203,7.1,Drama
1330021,Remarkably Bright Creatures,2026-05-07,25.942,8.573,Drama
987470,The Woman in the White Car,2025-10-29,1.6563,6.1,Thriller
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,29.4321,8.4,Animation
1294203,My Fault: London,2025-02-12,32.0699,7.382,Drama
648878,Eddington,2025-07-16,5.6823,6.448,Western
552524,Lilo & Stitch,2025-05-17,19.6183,7.204,Family
1721842,Outrem,2026-07-07,1.393,0.0,Drama
1341138,Spa Weekend,2026-08-20,2.1423,0.0,Comedy
1497970,Tom and Jerry: Forbidden Compass,2025-08-02,9.717,6.5,Animation
1307373,Wasteman,2026-02-20,7.5207,7.212,Crime
829280,Enola Holmes 2,2022-11-03,8.0555,7.401,Adventure
1723967,The Leaching,2026-07-07,0.0,0.0,Horror
1396674,Dog Day Evening,2026-06-13,1.2284,7.833,Drama
574475,Final Destination Bloodlines,2025-05-14,19.2488,7.039,Horror
1362262,CAMP,2026-06-26,3.2841,0.0,Horror
1284041,The Last House,2026-08-07,3.7833,0.0,Horror
718821,Twisters,2024-07-10,7.5866,6.8,Action
1256189,Un Château en Espagne,2026-01-10,1.602,0.0,Drama
1587964,They Fight,2026-06-08,1.4743,1.0,Drama
1714130,Toy Story 5: Zhuazhou,2026-06-05,2.4993,7.0,Animation
1613798,Vengeance,2026-02-26,42.2578,7.521,Action
1175942,The Bad Guys 2,2025-07-24,18.0229,7.646,Family
1500890,Lockbox,2026-07-03,2.8942,0.0,Horror
1235746,Dead of Winter,2025-09-23,7.4833,6.364,Thriller
1548749,Still Hope,2026-02-05,2.1328,7.3,Drama
1137350,The Phoenician Scheme,2025-05-23,6.3158,6.492,Comedy
1716513,Extreme Makeover: Homer Edition,2026-06-17,4.5939,7.5,Animation
1130948,Rosebush Pruning,2026-04-23,6.6402,7.4,Comedy
1437198,Tafiti: Across the Desert,2025-09-04,0.9971,7.2,Animation
1714130,Toy Story 5: Zhuazhou,2026-06-05,2.4993,7.0,Animation
1613798,Vengeance,2026-02-26,42.2578,7.521,Action
1500890,Lockbox,2026-07-03,2.8942,0.0,Horror
1235746,Dead of Winter,2025-09-23,7.4833,6.364,Thriller
1548749,Still Hope,2026-02-05,2.1328,7.3,Drama
1137350,The Phoenician Scheme,2025-05-23,6.3158,6.492,Comedy
1187326,Tad and The Magic Lamp,2026-08-26,2.5142,0.0,Animation
1716513,Extreme Makeover: Homer Edition,2026-06-17,4.5939,7.5,Animation
1130948,Rosebush Pruning,2026-04-23,6.6402,7.4,Comedy
1259983,Guru,2026-01-28,2.6349,6.071,Drama
1325866,Escape from the Outland,2025-12-24,2.197,6.8,Drama
1020829,Wild Foxes,2026-03-18,2.7305,6.3,Drama
1371151,Off the Grid,2025-06-27,6.9564,6.275,Action
1418582,Here The Whole Time,2026-06-18,1.1647,8.333,Comedy
1461254,Salmokji: Whispering Water,2026-04-08,5.8882,7.0,Horror
1367220,Karuppu,2026-05-14,74.5123,6.6,Action
1363123,The Family Plan 2,2025-11-11,9.3384,6.534,Action
1086260,The Astronaut,2025-09-26,5.6657,6.112,Horror
1339876,Mardaani 3,2026-01-30,9.5934,7.4,Action
1141970,Morte Cucina,2026-07-02,1.1888,0.0,Thriller
964849,Nightborn,2026-07-01,3.3717,0.0,Horror
989246,The Songbirds' Secret,2025-10-22,1.1683,5.5,Animation
1213243,Toxic,2026-08-26,4.4063,0.0,Action
350,The Devil Wears Prada,2006-06-29,58.2797,7.437,Drama
